Wavelength,n,k
0.969,3.830591,0.135704
0.97,3.829743,0.134745
0.971,3.828895,0.133791
0.972,3.828047,0.13284
0.973,3.827199,0.131894
0.974,3.826351,0.130951
0.975,3.825503,0.130013
0.976,3.824655,0.129078
0.977,3.823806,0.128148
0.978,3.822958,0.127222
0.979,3.82211,0.1263
0.98,3.821261,0.125381
0.981,3.820413,0.124467
0.982,3.819564,0.123557
0.983,3.818716,0.122651
0.984,3.817868,0.121748
0.985,3.817019,0.12085
0.986,3.816171,0.119956
0.987,3.815322,0.119065
0.988,3.814474,0.118179
0.989,3.813626,0.117296
0.99,3.812778,0.116418
0.991,3.811929,0.115543
0.992,3.811081,0.114672
0.993,3.810233,0.113805
0.994,3.809386,0.112942
0.995,3.808537,0.112083
0.996,3.80769,0.111228
0.997,3.806842,0.110377
0.998,3.805995,0.109529
0.999,3.805147,0.108686
1,3.8043,0.107846
1.0025,3.802182,0.105763
1.005,3.800065,0.103704
1.0075,3.797949,0.101669
1.01,3.795835,0.099658
1.0125,3.793721,0.09767
1.015,3.791609,0.095705
1.0175,3.789498,0.093764
1.02,3.787389,0.091846
1.0225,3.785281,0.089951
1.025,3.783175,0.088078
1.0275,3.781071,0.086229
1.03,3.778969,0.084402
1.0325,3.776869,0.082598
1.035,3.774771,0.080816
1.0375,3.772675,0.079057
1.04,3.770581,0.077319
1.0425,3.76849,0.075604
1.045,3.766402,0.073911
1.0475,3.764316,0.07224
1.05,3.762233,0.070591
1.0525,3.760153,0.068963
1.055,3.758075,0.067357
1.0575,3.756001,0.065772
1.06,3.753929,0.064209
1.0625,3.751861,0.062667
1.065,3.749796,0.061146
1.0675,3.747735,0.059646
1.07,3.745677,0.058168
1.0725,3.743623,0.05671
1.075,3.741572,0.055273
1.0775,3.739525,0.053856
1.08,3.737482,0.05246
1.0825,3.735443,0.051085
1.085,3.733408,0.04973
1.0875,3.731377,0.048395
1.09,3.72935,0.047081
1.0925,3.727328,0.045787
1.095,3.72531,0.044512
1.0975,3.723297,0.043258
1.1,3.721288,0.042023
1.1025,3.719284,0.040808
1.105,3.717285,0.039613
1.1075,3.715291,0.038437
1.11,3.713301,0.037281
1.1125,3.711317,0.036144
1.115,3.709338,0.035027
1.1175,3.707364,0.033928
1.12,3.705396,0.032849
1.1225,3.703433,0.031789
1.125,3.701476,0.030748
1.1275,3.699525,0.029726
1.13,3.697579,0.028722
1.1325,3.695639,0.027737
1.135,3.693705,0.026771
1.1375,3.691777,0.025823
1.14,3.689856,0.024894
1.1425,3.68794,0.023983
1.145,3.686031,0.02309
1.1475,3.684129,0.022216
1.15,3.682233,0.02136
1.1525,3.680344,0.020522
1.155,3.678461,0.019701
1.1575,3.676586,0.018899
1.16,3.674717,0.018114
1.1625,3.672856,0.017348
1.165,3.671002,0.016599
1.1675,3.669156,0.015867
1.17,3.667316,0.015153
1.1725,3.665485,0.014456
1.175,3.663661,0.013777
1.1775,3.661845,0.013115
1.18,3.660037,0.012471
1.1825,3.658237,0.011843
1.185,3.656445,0.011233
1.1875,3.654662,0.010639
1.19,3.652887,0.010063
1.1925,3.65112,0.009503
1.195,3.649363,0.00896
1.1975,3.647614,0.008434
1.2,3.645874,0.007924
1.2025,3.644144,0.007431
1.205,3.642422,0.006955
1.2075,3.640711,0.006495
1.21,3.639008,0.006051
1.2125,3.637316,0.005623
1.215,3.635633,0.005212
1.2175,3.633961,0.004817
1.22,3.632299,0.004438
1.2225,3.630647,0.004075
1.225,3.629007,0.003728
1.2275,3.627377,0.003397
1.23,3.625758,0.003082
1.2325,3.62415,0.002783
1.235,3.622554,0.002499
1.2375,3.62097,0.002231
1.24,3.619397,0.001978
1.2425,3.617837,0.001741
1.245,3.61629,0.001519
1.2475,3.614755,0.001313
1.25,3.613234,0.001122
1.2525,3.611726,0.000946
1.255,3.610232,0.000786
1.2575,3.608752,0.00064
1.26,3.607288,0.00051
1.2625,3.605838,0.000395
1.265,3.604404,0.000294
1.2675,3.602987,0.000208
1.27,3.601587,0.000138
1.2725,3.600205,0.000081
1.275,3.598842,0.00004
1.2775,3.5975,0.000013
1.28,3.596182,0.000001
1.2825,3.594894,0
1.285,3.593634,0
1.2875,3.592397,0
1.29,3.591179,0
1.2925,3.58998,0
1.295,3.588798,0
1.2975,3.587633,0
1.3,3.586483,0
1.3025,3.585348,0
1.305,3.584228,0
1.3075,3.583122,0
1.31,3.582028,0
1.3125,3.580948,0
1.315,3.57988,0
1.3175,3.578825,0
1.32,3.577781,0
1.3225,3.576749,0
1.325,3.575728,0
1.3275,3.574718,0
1.33,3.573719,0
1.3325,3.57273,0
1.335,3.571751,0
1.3375,3.570782,0
1.34,3.569824,0
1.3425,3.568874,0
1.345,3.567934,0
1.3475,3.567003,0
1.35,3.566081,0
1.3525,3.565168,0
1.355,3.564264,0
1.3575,3.563368,0
1.36,3.56248,0
1.3625,3.561601,0
1.365,3.560729,0
1.3675,3.559866,0
1.37,3.55901,0
1.3725,3.558162,0
1.375,3.557322,0
1.3775,3.556489,0
1.38,3.555663,0
1.3825,3.554844,0
1.385,3.554033,0
1.3875,3.553228,0
1.39,3.55243,0
1.3925,3.551639,0
1.395,3.550855,0
1.3975,3.550077,0
1.4,3.549305,0
1.4025,3.54854,0
1.405,3.547781,0
1.4075,3.547029,0
1.41,3.546283,0
1.4125,3.545542,0
1.415,3.544807,0
1.4175,3.544079,0
1.42,3.543355,0
1.4225,3.542638,0
1.425,3.541927,0
1.4275,3.54122,0
1.43,3.54052,0
1.4325,3.539824,0
1.435,3.539135,0
1.4375,3.53845,0
1.44,3.537771,0
1.4425,3.537096,0
1.445,3.536427,0
1.4475,3.535763,0
1.45,3.535103,0
1.4525,3.534449,0
1.455,3.533799,0
1.4575,3.533155,0
1.46,3.532515,0
1.4625,3.531879,0
1.465,3.531248,0
1.4675,3.530622,0
1.47,3.53,0
1.4725,3.529383,0
1.475,3.52877,0
1.4775,3.528162,0
1.48,3.527557,0
1.4825,3.526957,0
1.485,3.526361,0
1.4875,3.52577,0
1.49,3.525182,0
1.4925,3.524599,0
1.495,3.52402,0
1.4975,3.523444,0
1.5,3.522873,0
1.5025,3.522305,0
1.505,3.521741,0
1.5075,3.521182,0
1.51,3.520625,0
1.5125,3.520073,0
1.515,3.519524,0
1.5175,3.518979,0
1.52,3.518438,0
1.5225,3.5179,0
1.525,3.517366,0
1.5275,3.516835,0
1.53,3.516308,0
1.5325,3.515784,0
1.535,3.515264,0
1.5375,3.514747,0
1.54,3.514233,0
1.5425,3.513723,0
1.545,3.513216,0
1.5475,3.512712,0
1.55,3.512211,0
1.5525,3.511714,0
